"id","window_start","window_end","window_setting","number_of_cores","number_of_threads","latency","throughput","created_at"
176,"1762963560","1762963620","tumbling_1 minutes","4","1","0.475","138.94737","2025-11-12 16:07:00.666638+00"
177,"1762963620","1762963680","tumbling_1 minutes","4","1","0.638","105.01567","2025-11-12 16:08:01.230391+00"
178,"1762963680","1762963740","tumbling_1 minutes","4","1","0.593","111.298485","2025-11-12 16:09:00.690929+00"
179,"1762963740","1762963800","tumbling_1 minutes","4","1","0.999","67.06707","2025-11-12 16:10:01.496311+00"
180,"1762963800","1762963860","tumbling_1 minutes","4","1","0.163","411.04294","2025-11-12 16:11:01.070029+00"
181,"1762963860","1762963920","tumbling_1 minutes","4","1","0.22","300","2025-11-12 16:12:00.63213+00"
182,"1762963920","1762963980","tumbling_1 minutes","4","1","0.555","120.72072","2025-11-12 16:13:01.354418+00"
183,"1762963980","1762964040","tumbling_1 minutes","4","1","0.597","110.552765","2025-11-12 16:14:00.892091+00"
184,"1762964040","1762964100","tumbling_1 minutes","4","1","0.169","396.4497","2025-11-12 16:15:00.863278+00"
185,"1762964100","1762964160","tumbling_1 minutes","4","1","0.111","594.5946","2025-11-12 16:16:00.310639+00"
186,"1762964160","1762964220","tumbling_1 minutes","4","1","0.154","435.06494","2025-11-12 16:17:00.753405+00"
187,"1762964220","1762964280","tumbling_1 minutes","4","1","0.111","594.5946","2025-11-12 16:18:00.21118+00"
188,"1762964280","1762964340","tumbling_1 minutes","4","1","1.082","61.922367","2025-11-12 16:19:01.574265+00"
189,"1762964340","1762964400","tumbling_1 minutes","4","1","0.157","426.7516","2025-11-12 16:20:01.054277+00"
190,"1762964400","1762964460","tumbling_1 minutes","4","1","0.327","201.83487","2025-11-12 16:21:00.72494+00"
191,"1762964460","1762964520","tumbling_1 minutes","4","1","0.459","145.9695","2025-11-12 16:22:01.253678+00"
192,"1762964520","1762964580","tumbling_1 minutes","4","1","0.429","153.84616","2025-11-12 16:23:00.718989+00"
193,"1762964580","1762964640","tumbling_1 minutes","4","1","0.135","496.2963","2025-11-12 16:24:00.814557+00"
194,"1762964640","1762964700","tumbling_1 minutes","4","1","0.65","101.53846","2025-11-12 16:25:00.82727+00"
195,"1762964700","1762964760","tumbling_1 minutes","4","1","0.153","437.9085","2025-11-12 16:26:00.740656+00"
196,"1762964760","1762964820","tumbling_1 minutes","4","1","0.245","269.38776","2025-11-12 16:27:00.325132+00"
197,"1762964820","1762964880","tumbling_1 minutes","4","1","0.369","181.57182","2025-11-12 16:28:00.850178+00"
198,"1762964880","1762964940","tumbling_1 minutes","4","1","0.134","500","2025-11-12 16:29:01.027937+00"
199,"1762964940","1762965000","tumbling_1 minutes","4","1","0.367","179.83652","2025-11-12 16:30:00.745013+00"
200,"1762965000","1762965060","tumbling_1 minutes","4","1","0.138","485.50723","2025-11-12 16:31:00.936109+00"
201,"1762965060","1762965120","tumbling_1 minutes","4","1","0.319","206.89655","2025-11-12 16:32:00.609667+00"
202,"1762965120","1762965180","tumbling_1 minutes","4","1","0.129","519.3798","2025-11-12 16:33:00.817859+00"
203,"1762965180","1762965240","tumbling_1 minutes","4","1","0.233","283.2618","2025-11-12 16:34:00.426287+00"
204,"1762965240","1762965300","tumbling_1 minutes","4","1","0.119","563.0252","2025-11-12 16:35:00.703588+00"
205,"1762965300","1762965360","tumbling_1 minutes","4","1","0.668","98.8024","2025-11-12 16:36:00.751892+00"
206,"1762965360","1762965420","tumbling_1 minutes","4","1","0.631","106.180664","2025-11-12 16:37:01.121259+00"
207,"1762965420","1762965480","tumbling_1 minutes","4","1","0.111","603.6036","2025-11-12 16:38:01.002574+00"
208,"1762965480","1762965540","tumbling_1 minutes","4","1","0.547","120.658134","2025-11-12 16:39:00.941165+00"
209,"1762965540","1762965600","tumbling_1 minutes","4","1","0.34","197.05882","2025-11-12 16:40:01.136242+00"
210,"1762965600","1762965660","tumbling_1 minutes","4","1","0.491","134.41956","2025-11-12 16:41:00.789042+00"
211,"1762965660","1762965720","tumbling_1 minutes","4","1","0.959","69.86444","2025-11-12 16:42:01.663924+00"
212,"1762965720","1762965780","tumbling_1 minutes","4","1","0.25","264","2025-11-12 16:43:00.449265+00"
213,"1762965780","1762965840","tumbling_1 minutes","4","1","0.725","92.413795","2025-11-12 16:44:01.333145+00"
214,"1762965840","1762965900","tumbling_1 minutes","4","1","0.835","79.041916","2025-11-12 16:45:00.945809+00"
215,"1762965900","1762965960","tumbling_1 minutes","4","1","0.108","620.37036","2025-11-12 16:46:00.627152+00"
216,"1762965960","1762966020","tumbling_1 minutes","4","1","0.449","146.99332","2025-11-12 16:47:00.491907+00"
217,"1762966020","1762966080","tumbling_1 minutes","4","1","0.143","468.53146","2025-11-12 16:48:00.584419+00"
218,"1762966080","1762966140","tumbling_1 minutes","4","1","0.156","429.48718","2025-11-12 16:49:00.989797+00"
219,"1762966140","1762966200","tumbling_1 minutes","4","1","0.585","112.82051","2025-11-12 16:50:00.92673+00"
220,"1762966200","1762966260","tumbling_1 minutes","4","1","0.458","146.28821","2025-11-12 16:51:01.193266+00"
221,"1762966260","1762966320","tumbling_1 minutes","4","1","0.601","109.81697","2025-11-12 16:52:00.851211+00"
222,"1762966320","1762966380","tumbling_1 minutes","4","1","0.439","152.61958","2025-11-12 16:53:01.080159+00"
223,"1762966380","1762966440","tumbling_1 minutes","4","1","0.375","176","2025-11-12 16:54:00.514083+00"
224,"1762966440","1762966500","tumbling_1 minutes","4","1","0.374","179.14438","2025-11-12 16:55:00.915471+00"
225,"1762966500","1762966560","tumbling_1 minutes","4","1","0.993","66.465256","2025-11-12 16:56:01.036964+00"
226,"1762966560","1762966620","tumbling_1 minutes","4","1","0.384","174.47917","2025-11-12 16:57:00.826082+00"
227,"1762966620","1762966680","tumbling_1 minutes","4","1","0.165","406.0606","2025-11-12 16:58:01.009204+00"
228,"1762966680","1762966740","tumbling_1 minutes","4","1","1.773","37.22504","2025-11-12 16:59:02.112063+00"
229,"1762966740","1762966800","tumbling_1 minutes","4","1","1.063","63.029163","2025-11-12 17:00:01.802285+00"
